"image","xmin","ymin","xmax","ymax","label"
"0.jpg", 57, 8, 1112, 403, "cover_image" 
"1.jpg", 73, 81, 1115, 451, "cover_image" 
"2.jpg", 13, 80, 1050, 455, "cover_image" 
"3.jpg", 14, 57, 1057, 449, "cover_image" 
"4.jpg", 21, 93, 1056, 482, "cover_image" 
"5.jpg", 51, 66, 1096, 464, "cover_image" 
"6.jpg", 2, 80, 1035, 488, "cover_image" 
"7.jpg", 88, 52, 1138, 448, "cover_image" 
"8.jpg", 48, 27, 1083, 395, "cover_image" 
"9.jpg", 68, 19, 1102, 385, "cover_image" 
"10.jpg", 60, 71, 1097, 468, "cover_image" 
"11.jpg", 62, 45, 1095, 441, "cover_image" 
"12.jpg", 92, 80, 1130, 470, "cover_image" 
"13.jpg", 82, 6, 1117, 410, "cover_image" 
"14.jpg", 89, 56, 1126, 445, "cover_image" 
"15.jpg", 72, 74, 1118, 472, "cover_image" 
"16.jpg", 84, 43, 1109, 416, "cover_image" 
"17.jpg", 44, 84, 1095, 472, "cover_image" 
"18.jpg", 81, 44, 1141, 439, "cover_image" 
"19.jpg", 90, 5, 1116, 387, "cover_image" 
"20.jpg", 40, 53, 1091, 423, "cover_image" 
"21.jpg", 24, 58, 1052, 442, "cover_image" 
"22.jpg", 12, 28, 1073, 426, "cover_image" 
"23.jpg", 53, 2, 1081, 393, "cover_image" 
"24.jpg", 17, 17, 1060, 428, "cover_image" 
"25.jpg", 59, 18, 1079, 392, "cover_image" 
"26.jpg", 35, 67, 1070, 449, "cover_image" 
"27.jpg", 2, 76, 1034, 447, "cover_image" 
"28.jpg", 73, 82, 1113, 496, "cover_image" 
"29.jpg", 51, 74, 1075, 470, "cover_image" 
"30.jpg", 56, 51, 1104, 460, "cover_image" 
"31.jpg", 81, 80, 1120, 478, "cover_image" 
"32.jpg", 85, 64, 1128, 461, "cover_image" 
"33.jpg", 87, 94, 1129, 473, "cover_image" 
"34.jpg", 61, 17, 1112, 403, "cover_image" 
"35.jpg", 79, 4, 1112, 400, "cover_image" 
"36.jpg", 31, 10, 1065, 408, "cover_image" 
"37.jpg", 59, 16, 1075, 423, "cover_image" 
"38.jpg", 37, 0, 1076, 392, "cover_image" 
"39.jpg", 15, 17, 1047, 383, "cover_image" 
"40.jpg", 84, 29, 1124, 395, "cover_image" 
"41.jpg", 3, 44, 1045, 438, "cover_image" 
"42.jpg", 60, 85, 1106, 500, "cover_image" 
"43.jpg", 2, 12, 1048, 407, "cover_image" 
"44.jpg", 73, 81, 1117, 481, "cover_image" 
"45.jpg", 60, 45, 1110, 423, "cover_image" 
"46.jpg", 76, 80, 1118, 464, "cover_image" 
"47.jpg", 50, 91, 1089, 473, "cover_image" 
"48.jpg", 82, 52, 1121, 446, "cover_image" 
