"image","xmin","ymin","xmax","ymax","label"
"0.jpg", 93, 94, 1230, 530, "hero_left" 
"1.jpg", 75, 47, 1125, 532, "hero_left" 
"2.jpg", 43, 4, 1160, 477, "hero_left" 
"3.jpg", 16, 50, 1180, 484, "hero_left" 
"4.jpg", 53, 4, 1189, 481, "hero_left" 
"5.jpg", 68, 83, 1207, 530, "hero_left" 
"6.jpg", 63, 3, 1188, 418, "hero_left" 
"7.jpg", 26, 78, 1154, 526, "hero_left" 
"8.jpg", 19, 23, 1092, 452, "hero_left" 
"9.jpg", 24, 92, 1074, 506, "hero_left" 
"10.jpg", 0, 34, 1075, 507, "hero_left" 
"11.jpg", 18, 58, 1067, 486, "hero_left" 
"12.jpg", 18, 13, 1110, 429, "hero_left" 
"13.jpg", 25, 38, 1071, 488, "hero_left" 
"14.jpg", 48, 65, 1125, 502, "hero_left" 
"15.jpg", 24, 0, 1117, 445, "hero_left" 
"16.jpg", 6, 59, 1108, 492, "hero_left" 
"17.jpg", 69, 50, 1126, 485, "hero_left" 
"18.jpg", 79, 33, 1165, 481, "hero_left" 
"19.jpg", 24, 61, 1118, 493, "hero_left" 
"20.jpg", 10, 3, 1048, 456, "hero_left" 
"21.jpg", 81, 26, 1175, 483, "hero_left" 
"22.jpg", 88, 59, 1150, 484, "hero_left" 
"23.jpg", 36, 46, 1153, 474, "hero_left" 
"24.jpg", 67, 32, 1154, 507, "hero_left" 
"25.jpg", 85, 11, 1178, 453, "hero_left" 
"26.jpg", 71, 29, 1206, 477, "hero_left" 
"27.jpg", 65, 60, 1143, 471, "hero_left" 
"28.jpg", 11, 16, 1111, 491, "hero_left" 
"29.jpg", 14, 83, 1187, 529, "hero_left" 
"30.jpg", 11, 70, 1105, 537, "hero_left" 
"31.jpg", 52, 36, 1162, 456, "hero_left" 
"32.jpg", 77, 61, 1158, 541, "hero_left" 
"33.jpg", 17, 49, 1127, 476, "hero_left" 
"34.jpg", 55, 5, 1105, 427, "hero_left" 
"35.jpg", 86, 9, 1200, 444, "hero_left" 
"36.jpg", 18, 18, 1096, 467, "hero_left" 
"37.jpg", 21, 91, 1092, 519, "hero_left" 
"38.jpg", 94, 38, 1155, 459, "hero_left" 
"39.jpg", 87, 59, 1152, 537, "hero_left" 
"40.jpg", 86, 54, 1228, 486, "hero_left" 
"41.jpg", 1, 8, 1045, 447, "hero_left" 
"42.jpg", 27, 37, 1137, 470, "hero_left" 
"43.jpg", 37, 31, 1138, 459, "hero_left" 
"44.jpg", 31, 39, 1128, 488, "hero_left" 
"45.jpg", 88, 84, 1223, 550, "hero_left" 
"46.jpg", 30, 86, 1122, 538, "hero_left" 
"47.jpg", 73, 37, 1148, 457, "hero_left" 
"48.jpg", 64, 84, 1199, 549, "hero_left" 
"49.jpg", 90, 79, 1177, 540, "hero_left" 
"50.jpg", 27, 13, 1144, 457, "hero_left" 
"51.jpg", 49, 3, 1129, 436, "hero_left" 
"52.jpg", 53, 0, 1133, 467, "hero_left" 
"53.jpg", 35, 53, 1136, 535, "hero_left" 
"54.jpg", 66, 42, 1148, 475, "hero_left" 
"55.jpg", 60, 1, 1144, 440, "hero_left" 
"56.jpg", 90, 10, 1229, 413, "hero_left" 
"57.jpg", 0, 68, 1086, 534, "hero_left" 
"58.jpg", 53, 66, 1164, 504, "hero_left" 
"59.jpg", 81, 23, 1176, 460, "hero_left" 
"60.jpg", 28, 33, 1146, 492, "hero_left" 
"61.jpg", 21, 60, 1101, 535, "hero_left" 
"62.jpg", 36, 13, 1139, 449, "hero_left" 
"63.jpg", 60, 16, 1165, 461, "hero_left" 
"64.jpg", 50, 29, 1155, 468, "hero_left" 
"65.jpg", 5, 65, 1113, 520, "hero_left" 
"66.jpg", 0, 35, 1076, 476, "hero_left" 
"67.jpg", 1, 74, 1096, 528, "hero_left" 
"68.jpg", 64, 0, 1186, 418, "hero_left" 
"69.jpg", 64, 69, 1128, 511, "hero_left" 
"70.jpg", 0, 24, 1087, 467, "hero_left" 
"71.jpg", 86, 50, 1172, 516, "hero_left" 
"72.jpg", 24, 87, 1097, 546, "hero_left" 
