"image","xmin","ymin","xmax","ymax","label"
"0.jpg", 5, 96, 1025, 185, "navbar" 
"1.jpg", 66, 35, 1086, 110, "navbar" 
"2.jpg", 34, 23, 1054, 96, "navbar" 
"3.jpg", 12, 98, 1032, 181, "navbar" 
"4.jpg", 31, 29, 1051, 124, "navbar" 
"5.jpg", 23, 51, 1043, 144, "navbar" 
"6.jpg", 2, 0, 1022, 90, "navbar" 
"7.jpg", 62, 42, 1082, 125, "navbar" 
"8.jpg", 12, 91, 1032, 174, "navbar" 
"9.jpg", 2, 4, 1022, 102, "navbar" 
"10.jpg", 6, 82, 1026, 171, "navbar" 
"11.jpg", 49, 52, 1069, 141, "navbar" 
"12.jpg", 20, 18, 1040, 107, "navbar" 
"13.jpg", 10, 20, 1030, 107, "navbar" 
"14.jpg", 57, 48, 1077, 124, "navbar" 
"15.jpg", 93, 0, 1113, 93, "navbar" 
"16.jpg", 66, 17, 1086, 119, "navbar" 
"17.jpg", 41, 1, 1061, 89, "navbar" 
"18.jpg", 56, 57, 1076, 143, "navbar" 
"19.jpg", 50, 63, 1070, 136, "navbar" 
"20.jpg", 52, 6, 1072, 87, "navbar" 
"21.jpg", 2, 54, 1022, 137, "navbar" 
"22.jpg", 84, 64, 1104, 144, "navbar" 
"23.jpg", 62, 93, 1082, 179, "navbar" 
"24.jpg", 83, 36, 1103, 119, "navbar" 
"25.jpg", 19, 9, 1039, 100, "navbar" 
"26.jpg", 1, 72, 1021, 162, "navbar" 
"27.jpg", 8, 31, 1028, 132, "navbar" 
"28.jpg", 89, 19, 1109, 111, "navbar" 
"29.jpg", 62, 65, 1082, 158, "navbar" 
"30.jpg", 27, 67, 1047, 151, "navbar" 
"31.jpg", 63, 54, 1083, 152, "navbar" 
"32.jpg", 61, 22, 1081, 114, "navbar" 
"33.jpg", 2, 99, 1022, 201, "navbar" 
"34.jpg", 82, 65, 1102, 164, "navbar" 
"35.jpg", 23, 75, 1043, 165, "navbar" 
"36.jpg", 96, 57, 1116, 144, "navbar" 
"37.jpg", 72, 44, 1092, 128, "navbar" 
"38.jpg", 9, 20, 1029, 96, "navbar" 
"39.jpg", 28, 22, 1048, 126, "navbar" 
"40.jpg", 10, 12, 1030, 95, "navbar" 
"41.jpg", 45, 40, 1065, 142, "navbar" 
"42.jpg", 21, 25, 1041, 112, "navbar" 
"43.jpg", 20, 41, 1040, 134, "navbar" 
"44.jpg", 79, 96, 1099, 188, "navbar" 
"45.jpg", 66, 80, 1086, 174, "navbar" 
"46.jpg", 18, 84, 1038, 170, "navbar" 
"47.jpg", 81, 91, 1101, 189, "navbar" 
"48.jpg", 5, 38, 1025, 139, "navbar" 
"49.jpg", 80, 25, 1100, 128, "navbar" 
"50.jpg", 62, 69, 1082, 153, "navbar" 
"51.jpg", 8, 84, 1028, 171, "navbar" 
"52.jpg", 82, 62, 1102, 150, "navbar" 
"53.jpg", 65, 73, 1085, 156, "navbar" 
"54.jpg", 7, 31, 1027, 120, "navbar" 
"55.jpg", 96, 62, 1116, 134, "navbar" 
"56.jpg", 34, 87, 1054, 187, "navbar" 
"57.jpg", 51, 13, 1071, 112, "navbar" 
"58.jpg", 53, 30, 1073, 125, "navbar" 
"59.jpg", 31, 93, 1051, 195, "navbar" 
"60.jpg", 85, 75, 1105, 160, "navbar" 
"61.jpg", 54, 95, 1074, 171, "navbar" 
"62.jpg", 10, 28, 1030, 105, "navbar" 
"63.jpg", 67, 46, 1087, 153, "navbar" 
"64.jpg", 89, 56, 1109, 145, "navbar" 
"65.jpg", 83, 21, 1103, 129, "navbar" 
"66.jpg", 49, 43, 1069, 123, "navbar" 
"67.jpg", 20, 59, 1040, 137, "navbar" 
"68.jpg", 66, 15, 1086, 103, "navbar" 
"69.jpg", 44, 54, 1064, 144, "navbar" 
"70.jpg", 47, 45, 1067, 124, "navbar" 
"71.jpg", 62, 39, 1082, 131, "navbar" 
"72.jpg", 3, 0, 1023, 74, "navbar" 
"73.jpg", 83, 26, 1103, 111, "navbar" 
"74.jpg", 19, 60, 1039, 157, "navbar" 
"75.jpg", 22, 80, 1042, 174, "navbar" 
"76.jpg", 2, 17, 1022, 96, "navbar" 
"77.jpg", 26, 94, 1046, 195, "navbar" 
"78.jpg", 52, 9, 1072, 108, "navbar" 
"79.jpg", 79, 44, 1099, 126, "navbar" 
"80.jpg", 40, 1, 1060, 101, "navbar" 
"81.jpg", 32, 89, 1052, 193, "navbar" 
"82.jpg", 3, 86, 1023, 175, "navbar" 
"83.jpg", 84, 10, 1104, 95, "navbar" 
"84.jpg", 88, 35, 1108, 129, "navbar" 
"85.jpg", 5, 15, 1025, 107, "navbar" 
"86.jpg", 55, 87, 1075, 185, "navbar" 
"87.jpg", 18, 63, 1038, 166, "navbar" 
"88.jpg", 75, 94, 1095, 193, "navbar" 
"89.jpg", 51, 14, 1071, 102, "navbar" 
"90.jpg", 95, 34, 1115, 119, "navbar" 
"91.jpg", 22, 84, 1042, 174, "navbar" 
"92.jpg", 68, 48, 1088, 122, "navbar" 
"93.jpg", 89, 60, 1109, 158, "navbar" 
"94.jpg", 13, 36, 1033, 128, "navbar" 
"95.jpg", 83, 78, 1103, 166, "navbar" 
"96.jpg", 91, 6, 1111, 100, "navbar" 
"97.jpg", 70, 93, 1090, 184, "navbar" 
"98.jpg", 42, 56, 1062, 163, "navbar" 
"99.jpg", 55, 25, 1075, 117, "navbar" 
"100.jpg", 93, 26, 1113, 128, "navbar" 
"101.jpg", 72, 77, 1092, 162, "navbar" 
"102.jpg", 46, 47, 1066, 127, "navbar" 
"103.jpg", 68, 98, 1088, 193, "navbar" 
"104.jpg", 99, 25, 1119, 122, "navbar" 
"105.jpg", 16, 88, 1036, 181, "navbar" 
"106.jpg", 62, 63, 1082, 159, "navbar" 
"107.jpg", 1, 15, 1021, 88, "navbar" 
"108.jpg", 13, 16, 1033, 107, "navbar" 
"109.jpg", 69, 87, 1089, 175, "navbar" 
"110.jpg", 73, 50, 1093, 139, "navbar" 
"111.jpg", 59, 25, 1079, 128, "navbar" 
"112.jpg", 40, 9, 1060, 103, "navbar" 
"113.jpg", 85, 36, 1105, 138, "navbar" 
"114.jpg", 86, 87, 1106, 184, "navbar" 
"115.jpg", 2, 48, 1022, 144, "navbar" 
"116.jpg", 89, 40, 1109, 124, "navbar" 
"117.jpg", 59, 20, 1079, 96, "navbar" 
"118.jpg", 83, 93, 1103, 186, "navbar" 
"119.jpg", 33, 95, 1053, 171, "navbar" 
"120.jpg", 70, 47, 1090, 129, "navbar" 
"121.jpg", 27, 38, 1047, 117, "navbar" 
"122.jpg", 28, 78, 1048, 169, "navbar" 
"123.jpg", 92, 10, 1112, 86, "navbar" 
"124.jpg", 55, 28, 1075, 117, "navbar" 
"125.jpg", 94, 65, 1114, 165, "navbar" 
"126.jpg", 35, 27, 1055, 112, "navbar" 
