"image","xmin","ymin","xmax","ymax","label"
"0.jpg", 24, 12, 1082, 303, "paragraph" 
"1.jpg", 29, 30, 1070, 282, "paragraph" 
"2.jpg", 27, 26, 1078, 283, "paragraph" 
"3.jpg", 21, 28, 1072, 280, "paragraph" 
"4.jpg", 24, 26, 1079, 299, "paragraph" 
"5.jpg", 35, 28, 1068, 283, "paragraph" 
"6.jpg", 17, 11, 1084, 285, "paragraph" 
"7.jpg", 29, 9, 1075, 275, "paragraph" 
"8.jpg", 29, 8, 1079, 271, "paragraph" 
"9.jpg", 23, 32, 1069, 277, "paragraph" 
"10.jpg", 27, 2, 1059, 289, "paragraph" 
"11.jpg", 24, 7, 1074, 289, "paragraph" 
"12.jpg", 26, 5, 1062, 280, "paragraph" 
"13.jpg", 32, 18, 1075, 288, "paragraph" 
"14.jpg", 23, 28, 1067, 284, "paragraph" 
"15.jpg", 26, 13, 1084, 297, "paragraph" 
"16.jpg", 32, 9, 1073, 292, "paragraph" 
"17.jpg", 31, 25, 1070, 300, "paragraph" 
"18.jpg", 27, 15, 1078, 286, "paragraph" 
"19.jpg", 19, 25, 1079, 281, "paragraph" 
"20.jpg", 31, 15, 1071, 298, "paragraph" 
"21.jpg", 22, 15, 1074, 299, "paragraph" 
"22.jpg", 25, 0, 1070, 296, "paragraph" 
"23.jpg", 19, 16, 1084, 284, "paragraph" 
"24.jpg", 27, 14, 1074, 290, "paragraph" 
"25.jpg", 30, 17, 1073, 294, "paragraph" 
"26.jpg", 27, 15, 1077, 297, "paragraph" 
"27.jpg", 30, 27, 1080, 276, "paragraph" 
"28.jpg", 24, 4, 1082, 280, "paragraph" 
"29.jpg", 27, 8, 1079, 268, "paragraph" 
"30.jpg", 23, 26, 1074, 293, "paragraph" 
"31.jpg", 34, 30, 1078, 279, "paragraph" 
"32.jpg", 24, 21, 1073, 279, "paragraph" 
"33.jpg", 23, 21, 1079, 267, "paragraph" 
"34.jpg", 35, 10, 1061, 286, "paragraph" 
"35.jpg", 23, 18, 1075, 292, "paragraph" 
"36.jpg", 20, 4, 1073, 285, "paragraph" 
"37.jpg", 33, 12, 1083, 288, "paragraph" 
"38.jpg", 16, 1, 1073, 292, "paragraph" 
"39.jpg", 24, 28, 1068, 290, "paragraph" 
"40.jpg", 30, 25, 1071, 277, "paragraph" 
"41.jpg", 26, 3, 1075, 279, "paragraph" 
"42.jpg", 18, 12, 1069, 273, "paragraph" 
"43.jpg", 34, 15, 1078, 276, "paragraph" 
"44.jpg", 23, 30, 1070, 283, "paragraph" 
"45.jpg", 28, 13, 1072, 284, "paragraph" 
"46.jpg", 27, 12, 1077, 290, "paragraph" 
"47.jpg", 29, 0, 1072, 274, "paragraph" 
"48.jpg", 17, 11, 1068, 294, "paragraph" 
"49.jpg", 19, 5, 1077, 288, "paragraph" 
"50.jpg", 32, 4, 1074, 290, "paragraph" 
"51.jpg", 31, 18, 1076, 295, "paragraph" 
"52.jpg", 21, 11, 1066, 281, "paragraph" 
"53.jpg", 23, 17, 1063, 281, "paragraph" 
"54.jpg", 22, 14, 1074, 282, "paragraph" 
"55.jpg", 22, 8, 1071, 281, "paragraph" 
"56.jpg", 19, 8, 1080, 286, "paragraph" 
"57.jpg", 26, 13, 1068, 276, "paragraph" 
"58.jpg", 19, 20, 1061, 285, "paragraph" 
"59.jpg", 29, 6, 1082, 284, "paragraph" 
"60.jpg", 35, 1, 1072, 270, "paragraph" 
"61.jpg", 29, 29, 1075, 273, "paragraph" 
"62.jpg", 20, 15, 1072, 292, "paragraph" 
"63.jpg", 21, 18, 1063, 293, "paragraph" 
"64.jpg", 34, 16, 1067, 282, "paragraph" 
"65.jpg", 25, 9, 1076, 284, "paragraph" 
"66.jpg", 27, 14, 1078, 286, "paragraph" 
"67.jpg", 38, 5, 1077, 295, "paragraph" 
"68.jpg", 23, 8, 1084, 286, "paragraph" 
"69.jpg", 34, 10, 1071, 284, "paragraph" 
"70.jpg", 19, 12, 1082, 278, "paragraph" 
"71.jpg", 36, 18, 1073, 291, "paragraph" 
"72.jpg", 27, 1, 1083, 271, "paragraph" 
"73.jpg", 35, 16, 1070, 280, "paragraph" 
"74.jpg", 23, 10, 1068, 282, "paragraph" 
"75.jpg", 38, 30, 1074, 288, "paragraph" 
"76.jpg", 37, 1, 1076, 298, "paragraph" 
"77.jpg", 33, 9, 1078, 280, "paragraph" 
"78.jpg", 21, 0, 1073, 282, "paragraph" 
"79.jpg", 42, 11, 1072, 283, "paragraph" 
"80.jpg", 26, 17, 1076, 289, "paragraph" 
"81.jpg", 25, 2, 1072, 276, "paragraph" 
"82.jpg", 25, 12, 1080, 281, "paragraph" 
"83.jpg", 22, 11, 1070, 280, "paragraph" 
"84.jpg", 21, 18, 1068, 279, "paragraph" 
"85.jpg", 38, 12, 1066, 273, "paragraph" 
"86.jpg", 19, 10, 1079, 291, "paragraph" 
"87.jpg", 23, 14, 1076, 279, "paragraph" 
"88.jpg", 19, 22, 1075, 279, "paragraph" 
"89.jpg", 22, 9, 1067, 284, "paragraph" 
"90.jpg", 29, 5, 1065, 295, "paragraph" 
"91.jpg", 25, 29, 1070, 296, "paragraph" 
"92.jpg", 20, 17, 1081, 276, "paragraph" 
"93.jpg", 25, 10, 1070, 298, "paragraph" 
"94.jpg", 25, 21, 1076, 276, "paragraph" 
"95.jpg", 25, 7, 1065, 298, "paragraph" 
"96.jpg", 23, 4, 1078, 279, "paragraph" 
